pattern	sbml_type	annotation_type	qualifier	collection	entity	name
^FBP2$	reaction	RDF	BQB_IS	uniprot	P16118	
						
^PFK1$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^PFK1$	reaction	RDF	BQB_IS	ec-code	2.7.1.11	
^PFK1$	reaction	RDF	BQB_IS	rhea	16110	
^PFK1$	reaction	RDF	BQB_IS	kegg.reaction	R00756	
^PFK1$	reaction	RDF	BQB_IS	uniprot	P17858	
						
^FBP1$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^FBP1$	reaction	RDF	BQB_IS	ec-code	3.1.3.11	
^FBP1$	reaction	RDF	BQB_IS	rhea	11065	
^FBP1$	reaction	RDF	BQB_IS	kegg.reaction	R00762	
^FBP1$	reaction	RDF	BQB_IS	uniprot	O00757	
^FBP1$	reaction	RDF	BQB_IS	uniprot	P09467	
						
^ALD$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^ALD$	reaction	RDF	BQB_IS	ec-code	4.1.2.13	
^ALD$	reaction	RDF	BQB_IS	rhea	14732	
^ALD$	reaction	RDF	BQB_IS	kegg.reaction	R01068	
^ALD$	reaction	RDF	BQB_IS	uniprot	P05062	
						
^TPI$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^TPI$	reaction	RDF	BQB_IS	ec-code	5.3.1.1	
^TPI$	reaction	RDF	BQB_IS	rhea	18588	
^TPI$	reaction	RDF	BQB_IS	kegg.reaction	R01015	
^TPI$	reaction	RDF	BQB_IS	uniprot	P60174	
						
^GAPDH$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^GAPDH$	reaction	RDF	BQB_IS	ec-code	1.2.1.12	
^GAPDH$	reaction	RDF	BQB_IS	rhea	10303	
^GAPDH$	reaction	RDF	BQB_IS	kegg.reaction	R01061	
^GAPDH$	reaction	RDF	BQB_IS	uniprot	P04406	
						
^PGK$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^PGK$	reaction	RDF	BQB_IS	ec-code	2.7.2.3	
^PGK$	reaction	RDF	BQB_IS_VERSION_OF	rhea	14804	
^PGK$	reaction	RDF	BQB_IS	kegg.reaction	R01512	
^PGK$	reaction	RDF	BQB_IS	kegg.reaction	P00558	
						
^PGM$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^PGM$	reaction	RDF	BQB_IS	ec-code	5.4.2.1	
^PGM$	reaction	RDF	BQB_IS_VERSION_OF	rhea	15904	
^PGM$	reaction	RDF	BQB_IS	kegg.reaction	R01518	
^PGM$	reaction	RDF	BQB_IS	uniprot	P18669	
						
^EN$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^EN$	reaction	RDF	BQB_IS	ec-code	4.2.1.11	
^EN$	reaction	RDF	BQB_IS	rhea	10167	
^EN$	reaction	RDF	BQB_IS	kegg.reaction	R00658	
^EN$	reaction	RDF	BQB_IS	uniprot	P06733	
^EN$	reaction	RDF	BQB_IS	uniprot	P09104	
^EN$	reaction	RDF	BQB_IS	uniprot	P13929	
						
^PK$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^PK$	reaction	RDF	BQB_IS	ec-code	2.7.1.40	
^PK$	reaction	RDF	BQB_IS	rhea	18159	
^PK$	reaction	RDF	BQB_IS	kegg.reaction	R00200	
^PK$	reaction	RDF	BQB_IS	uniprot	P30613	
						
^PEPCK$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^PEPCK$	reaction	RDF	BQB_IS	ec-code	4.1.1.32	
^PEPCK$	reaction	RDF	BQB_IS	rhea	10391	
^PEPCK$	reaction	RDF	BQB_IS	kegg.reaction	R00431	
^PEPCK$	reaction	RDF	BQB_IS	uniprot	P35558	
						
^PEPCKM$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^PEPCKM$	reaction	RDF	BQB_IS	ec-code	4.1.1.32	
^PEPCKM$	reaction	RDF	BQB_IS	rhea	10391	
^PEPCKM$	reaction	RDF	BQB_IS	kegg.reaction	R00431	
^PEPCKM$	reaction	RDF	BQB_IS	uniprot	Q16822	
						
^PC$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^PC$	reaction	RDF	BQB_IS	ec-code	6.4.1.1	
^PC$	reaction	RDF	BQB_IS_VERSION_OF	rhea	20847	
^PC$	reaction	RDF	BQB_IS	kegg.reaction	R00344	
^PC$	reaction	RDF	BQB_IS	uniprot	P11498	
						
^LDH$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^LDH$	reaction	RDF	BQB_IS	ec-code	1.1.1.27	
^LDH$	reaction	RDF	BQB_IS	rhea	23447	
^LDH$	reaction	RDF	BQB_IS	kegg.reaction	R00703	
^LDH$	reaction	RDF	BQB_IS	uniprot	P00338	
^LDH$	reaction	RDF	BQB_IS	uniprot	P07195	
^LDH$	reaction	RDF	BQB_IS	uniprot	P07864	
						
^PDH$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^PDH$	reaction	RDF	BQB_IS	ec-code	1.2.4.1	
^PDH$	reaction	RDF	BQB_IS	rhea	28045	
^PDH$	reaction	RDF	BQB_IS	kegg.reaction	R00209	
^PDH$	reaction	RDF	BQB_IS	uniprot	P08559	
^PDH$	reaction	RDF	BQB_IS	uniprot	P11177	
^PDH$	reaction	RDF	BQB_IS	uniprot	P10515	
^PDH$	reaction	RDF	BQB_IS	uniprot	P09622	
^PDH$	reaction	RDF	BQB_IS	uniprot	O00330	
						
^CS$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^CS$	reaction	RDF	BQB_IS	ec-code	2.3.3.1	
^CS$	reaction	RDF	BQB_IS	rhea	16848	
^CS$	reaction	RDF	BQB_IS	kegg.reaction	R00351	
^CS$	reaction	RDF	BQB_IS	uniprot	O75390	
						
^NDKGTPM$	reaction	RDF	BQB_IS	sbo	SBO:0000176	biochemical reaction
^NDKGTP$	reaction	RDF	BQB_IS	rhea	27689	
^NDKGTPM$	reaction	RDF	BQB_IS	ec-code	2.7.4.6	
^NDKGTPM$	reaction	RDF	BQB_IS	kegg.reaction	R00330	
						
# species						
^glc[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^glc[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:4167	D-glucopyranose
^glc[_]*\w*$	species	RDF	BQB_IS	kegg.compound	C00031	D-Glucose
^glc[_]*\w*$	species	Formula			C6H12O6	
^glc[_]*\w*$	species	Charge			0	
						
^atp[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^atp[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:30616	ATP(4-)
^atp[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00002	ATP
^atp[_]*\w*$	species	Formula			C10H12N5O13P3	
^atp[_]*\w*$	species	Charge			-4	
						
^adp[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^adp[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:456216	ADP(3-)
^adp[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00008	ADP
^adp[_]*\w*$	species	Formula			C10H12N5O10P2	
^adp[_]*\w*$	species	Charge			-3	
						
^amp[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^amp[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:456215	AMP(2-)
^amp[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00020	AMP
^amp[_]*\w*$	species	Formula			C10H12N5O7P	
^amp[_]*\w*$	species	Charge			-2	
						
^utp[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^utp[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:46398	UTP(4-)
^utp[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00075	UTP
^utp[_]*\w*$	species	Formula			C9H11N2O15P3	
^utp[_]*\w*$	species	Charge			-4	
						
^udp[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^udp[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:58223	UDP(3-)
^udp[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00015	UDP
^udp[_]*\w*$	species	Formula			C9H11N2O12P2	
^udp[_]*\w*$	species	Charge			-3	
						
^gtp[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^gtp[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00044	
^gtp[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:37565	GTP(4-)
^gtp[_]*\w*$	species	Formula			C10H12N5O14P3	
^gtp[_]*\w*$	species	Charge			-4	
						
^gdp[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^gdp[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00035	
^gdp[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:58189	GDP(3−)
^gdp[_]*\w*$	species	Formula			C10H12N5O11P2	
^gdp[_]*\w*$	species	Charge			-3	
						
^nad[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^nad[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00003	
^nad[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:57540	NAD(1-)
^nad[_]*\w*$	species	Formula			C21H26N7O14P2	
^nad[_]*\w*$	species	Charge			-1	
						
^nadh[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^nadh[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00004	
^nadh[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:57945	NADH(2-)
^nadh[_]*\w*$	species	Formula			C21H27N7O14P2	
^nadh[_]*\w*$	species	Charge			-2	
						
^phos[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^phos[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:43474	hydrogenphosphate
^phos[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00009	Phosphate
^phos[_]*\w*$	species	Formula			HO4P	
^phos[_]*\w*$	species	Charge			-2	
						
^pp[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^pp[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:33019	diphosphate(3-)
^pp[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00013	Diphosphate
^pp[_]*\w*$	species	Formula			HO7P2	
^pp[_]*\w*$	species	Charge			-3	
						
^co2[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^co2[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:16526	carbon dioxide
^co2[_]*\w*$	species	RDF	BQB_IS	kegg.compound	C00011	CO2
^co2[_]*\w*$	species	Formula			CO2	
^co2[_]*\w*$	species	Charge			0	
						
^h[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^h[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:15378	hydron
^h[_]*\w*$	species	RDF	BQB_IS	kegg.compound	C00080	H+
^h[_]*\w*$	species	Formula			H	
^h[_]*\w*$	species	Charge			+1	
						
^h2[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^h2[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:18276	dihydrogen
^h2[_]*\w*$	species	RDF	BQB_IS	kegg.compound	C00282	Hydrogen
^h2[_]*\w*$	species	Formula			H2	
^h2[_]*\w*$	species	Charge			0	
						
^h2o[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^h2o[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:15377	water
^h2o[_]*\w*$	species	RDF	BQB_IS	kegg.compound	C00001	H2O
^h2o[_]*\w*$	species	Formula			H2O	
^h2o[_]*\w*$	species	Charge			0	
						
^glc1p[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^glc1p[_]*\w*$	species	RDF	BQB_IS	kegg.compound	C00103	D-Glucose 1-phosphate
^glc1p[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:58601	alpha-D-glucose 1-phosphate(2-)
^glc1p[_]*\w*$	species	Formula			C6H11O9P	
^glc1p[_]*\w*$	species	Charge			-2	
						
^udpglc[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^udpglc[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00029	UDP-glucose
^udpglc[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:58885	UDP-alpha-D-glucose(2-)
^udpglc[_]*\w*$	species	Formula			C15H22N2O17P2	
^udpglc[_]*\w*$	species	Charge			-2	
						
^glyglc[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^glyglc[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00182	
^glyglc[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	chebi	CHEBI:28087	
^glyglc[_]*\w*$	species	Formula			C6H12O6	
^glyglc[_]*\w*$	species	Charge			0	
						
^glc6p[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^glc6p[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00668	alpha-D-Glucose 6-phosphate
^glc6p[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:61548	D-glucopyranose 6-phosphate(2-)
^glc6p[_]*\w*$	species	Formula			C6H11O9P	
^glc6p[_]*\w*$	species	Charge			-2	
						
^fru6p[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^fru6p[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00085	
^fru6p[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:57579	D-fructose 6-phosphate(2−)
^fru6p[_]*\w*$	species	Formula			C6H11O9P	
^fru6p[_]*\w*$	species	Charge			-2	
						
^fru16bp[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^fru16bp[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00354	
^fru16bp[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:49299	D-fructofuranose 1,6-bisphosphate(4-)
^fru16bp[_]*\w*$	species	Formula			C6H10O12P2	
^fru16bp[_]*\w*$	species	Charge			-4	
						
^fru26bp[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^fru26bp[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00665	
^fru26bp[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:58579	β-D-fructofuranose 2,6-bisphosphate(4−)
^fru26bp[_]*\w*$	species	Formula			C6H10O12P2	
^fru26bp[_]*\w*$	species	Charge			-4	
						
^grap[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^grap[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00118	
^grap[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:59776	D-glyceraldehyde 3-phosphate(2-)
^grap[_]*\w*$	species	Formula			C3H5O6P	
^grap[_]*\w*$	species	Charge			-2	
						
^dhap[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^dhap[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00111	
^dhap[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:57642	glycerone phosphate(2-)
^dhap[_]*\w*$	species	Formula			C3H5O6P	
^dhap[_]*\w*$	species	Charge			-2	
						
^bpg13[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^bpg13[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00236	
^bpg13[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:57604	3-phosphonato-D-glyceroyl phosphate(4-)
^bpg13[_]*\w*$	species	Formula			C3H4O10P2	
^bpg13[_]*\w*$	species	Charge			-4	
						
^pg3[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^pg3[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00197	
^pg3[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:58272	3-phosphonato-D-glycerate(3-)
^pg3[_]*\w*$	species	Formula			C3H4O7P	
^pg3[_]*\w*$	species	Charge			-3	
						
^pg2[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^pg2[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00631	
^pg2[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:58289	2-phosphonato-D-glycerate(3-)
^pg2[_]*\w*$	species	Formula			C3H4O7P	
^pg2[_]*\w*$	species	Charge			-3	
						
^pep[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^pep[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00074	
^pep[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:58702	phosphonatoenolpyruvate
^pep[_]*\w*$	species	Formula			C3H2O6P	
^pep[_]*\w*$	species	Charge			-3	
						
^pyr[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^pyr[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00022	
^pyr[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:15361	pyruvate
^pyr[_]*\w*$	species	Formula			C3H3O3	
^pyr[_]*\w*$	species	Charge			-1	
						
^oaa[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^oaa[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00036	
^oaa[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:16452	oxaloacetate(2-)
^oaa[_]*\w*$	species	Formula			C4H2O5	
^oaa[_]*\w*$	species	Charge			-2	
						
^lac[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^lac[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00186	
^lac[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:16651	(S)-lactate
^lac[_]*\w*$	species	Formula			C3H5O3	
^lac[_]*\w*$	species	Charge			-1	
						
^coa[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^coa[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00010	
^coa[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:57287	coenzyme A(4-)
^coa[_]*\w*$	species	Formula			C21H32N7O16P3S	
^coa[_]*\w*$	species	Charge			-4	
						
^acoa[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^acoa[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00024	
^acoa[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:57288	acetyl-CoA(4-)
^acoa[_]*\w*$	species	Formula			C23H34N7O17P3S	
^acoa[_]*\w*$	species	Charge			-4	
						
^cit[_]*\w*$	species	RDF	BQB_IS	sbo	SBO:0000247	simple chemical
^cit[_]*\w*$	species	RDF	BQB_IS_VERSION_OF	kegg.compound	C00158	
^cit[_]*\w*$	species	RDF	BQB_IS	chebi	CHEBI:16947	citrate(3-)
^cit[_]*\w*$	species	Formula			C6H5O7	
^cit[_]*\w*$	species	Charge			-3	
						
# rules						
^[\w_]*_tot$	rule	RDF	BQB_IS	sbo	SBO:0000359	mass conservation law
