pattern	sbml_type	annotation_type	value	qualifier	collection	name
^FBP2$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^FBP2$	reaction	RDF	3.1.3.46	BQB_IS	ec-code	
^FBP2$	reaction	RDF	17290	BQB_IS	rhea	
^FBP2$	reaction	RDF	R00763	BQB_IS	kegg.reaction	
^FBP2$	reaction	RDF	P16118	BQB_IS	uniprot	
						
^PFK1$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PFK1$	reaction	RDF	2.7.1.11	BQB_IS	ec-code	
^PFK1$	reaction	RDF	16110	BQB_IS	rhea	
^PFK1$	reaction	RDF	R00756	BQB_IS	kegg.reaction	
^PFK1$	reaction	RDF	P17858	BQB_IS	uniprot	
						
^FBP1$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^FBP1$	reaction	RDF	3.1.3.11	BQB_IS	ec-code	
^FBP1$	reaction	RDF	11065	BQB_IS	rhea	
^FBP1$	reaction	RDF	R00762	BQB_IS	kegg.reaction	
^FBP1$	reaction	RDF	O00757	BQB_IS	uniprot	
^FBP1$	reaction	RDF	P09467	BQB_IS	uniprot	
						
^ALD$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^ALD$	reaction	RDF	4.1.2.13	BQB_IS	ec-code	
^ALD$	reaction	RDF	14732	BQB_IS	rhea	
^ALD$	reaction	RDF	R01068	BQB_IS	kegg.reaction	
^ALD$	reaction	RDF	P05062	BQB_IS	uniprot	
						
^TPI$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^TPI$	reaction	RDF	5.3.1.1	BQB_IS	ec-code	
^TPI$	reaction	RDF	18588	BQB_IS	rhea	
^TPI$	reaction	RDF	R01015	BQB_IS	kegg.reaction	
^TPI$	reaction	RDF	P60174	BQB_IS	uniprot	
						
^GAPDH$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^GAPDH$	reaction	RDF	1.2.1.12	BQB_IS	ec-code	
^GAPDH$	reaction	RDF	10303	BQB_IS	rhea	
^GAPDH$	reaction	RDF	R01061	BQB_IS	kegg.reaction	
^GAPDH$	reaction	RDF	P04406	BQB_IS	uniprot	
						
^PGK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PGK$	reaction	RDF	2.7.2.3	BQB_IS	ec-code	
^PGK$	reaction	RDF	14804	BQB_IS_VERSION_OF	rhea	
^PGK$	reaction	RDF	R01512	BQB_IS	kegg.reaction	
^PGK$	reaction	RDF	P00558	BQB_IS	kegg.reaction	
						
^PGM$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PGM$	reaction	RDF	5.4.2.1	BQB_IS	ec-code	
^PGM$	reaction	RDF	15904	BQB_IS_VERSION_OF	rhea	
^PGM$	reaction	RDF	R01518	BQB_IS	kegg.reaction	
^PGM$	reaction	RDF	P18669	BQB_IS	uniprot	
						
^EN$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^EN$	reaction	RDF	4.2.1.11	BQB_IS	ec-code	
^EN$	reaction	RDF	10167	BQB_IS	rhea	
^EN$	reaction	RDF	R00658	BQB_IS	kegg.reaction	
^EN$	reaction	RDF	P06733	BQB_IS	uniprot	
^EN$	reaction	RDF	P09104	BQB_IS	uniprot	
^EN$	reaction	RDF	P13929	BQB_IS	uniprot	
						
^PK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PK$	reaction	RDF	2.7.1.40	BQB_IS	ec-code	
^PK$	reaction	RDF	18159	BQB_IS	rhea	
^PK$	reaction	RDF	R00200	BQB_IS	kegg.reaction	
^PK$	reaction	RDF	P30613	BQB_IS	uniprot	
						
^PEPCK$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PEPCK$	reaction	RDF	4.1.1.32	BQB_IS	ec-code	
^PEPCK$	reaction	RDF	10391	BQB_IS	rhea	
^PEPCK$	reaction	RDF	R00431	BQB_IS	kegg.reaction	
^PEPCK$	reaction	RDF	P35558	BQB_IS	uniprot	
						
^PEPCKM$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PEPCKM$	reaction	RDF	4.1.1.32	BQB_IS	ec-code	
^PEPCKM$	reaction	RDF	10391	BQB_IS	rhea	
^PEPCKM$	reaction	RDF	R00431	BQB_IS	kegg.reaction	
^PEPCKM$	reaction	RDF	Q16822	BQB_IS	uniprot	
						
^PC$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PC$	reaction	RDF	6.4.1.1	BQB_IS	ec-code	
^PC$	reaction	RDF	20847	BQB_IS_VERSION_OF	rhea	
^PC$	reaction	RDF	R00344	BQB_IS	kegg.reaction	
^PC$	reaction	RDF	P11498	BQB_IS	uniprot	
						
^LDH$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^LDH$	reaction	RDF	1.1.1.27	BQB_IS	ec-code	
^LDH$	reaction	RDF	23447	BQB_IS	rhea	
^LDH$	reaction	RDF	R00703	BQB_IS	kegg.reaction	
^LDH$	reaction	RDF	P00338	BQB_IS	uniprot	
^LDH$	reaction	RDF	P07195	BQB_IS	uniprot	
^LDH$	reaction	RDF	P07864	BQB_IS	uniprot	
						
^PDH$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^PDH$	reaction	RDF	1.2.4.1	BQB_IS	ec-code	
^PDH$	reaction	RDF	28045	BQB_IS	rhea	
^PDH$	reaction	RDF	R00209	BQB_IS	kegg.reaction	
^PDH$	reaction	RDF	P08559	BQB_IS	uniprot	
^PDH$	reaction	RDF	P11177	BQB_IS	uniprot	
^PDH$	reaction	RDF	P10515	BQB_IS	uniprot	
^PDH$	reaction	RDF	P09622	BQB_IS	uniprot	
^PDH$	reaction	RDF	O00330	BQB_IS	uniprot	
						
^CS$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^CS$	reaction	RDF	2.3.3.1	BQB_IS	ec-code	
^CS$	reaction	RDF	16848	BQB_IS	rhea	
^CS$	reaction	RDF	R00351	BQB_IS	kegg.reaction	
^CS$	reaction	RDF	O75390	BQB_IS	uniprot	
						
^NDKGTPM$	reaction	RDF	SBO:0000176	BQB_IS	biomodels.sbo	biochemical reaction
^NDKGTP$	reaction	RDF	27689	BQB_IS	rhea	
^NDKGTPM$	reaction	RDF	2.7.4.6	BQB_IS	ec-code	
^NDKGTPM$	reaction	RDF	R00330	BQB_IS	kegg.reaction	
						
# species						
^glc[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^glc[_]*\w*$	species	RDF	CHEBI:4167	BQB_IS	chebi	D-glucopyranose
^glc[_]*\w*$	species	RDF	C00031	BQB_IS	kegg.compound	D-Glucose
^glc[_]*\w*$	species	Formula	C6H12O6			
^glc[_]*\w*$	species	Charge	0			
						
^atp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^atp[_]*\w*$	species	RDF	CHEBI:30616	BQB_IS	chebi	ATP(4-)
^atp[_]*\w*$	species	RDF	C00002	BQB_IS_VERSION_OF	kegg.compound	ATP
^atp[_]*\w*$	species	Formula	C10H12N5O13P3			
^atp[_]*\w*$	species	Charge	-4			
						
^adp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^adp[_]*\w*$	species	RDF	CHEBI:456216	BQB_IS	chebi	ADP(3-)
^adp[_]*\w*$	species	RDF	C00008	BQB_IS_VERSION_OF	kegg.compound	ADP
^adp[_]*\w*$	species	Formula	C10H12N5O10P2			
^adp[_]*\w*$	species	Charge	-3			
						
^amp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^amp[_]*\w*$	species	RDF	CHEBI:456215	BQB_IS	chebi	AMP(2-)
^amp[_]*\w*$	species	RDF	C00020	BQB_IS_VERSION_OF	kegg.compound	AMP
^amp[_]*\w*$	species	Formula	C10H12N5O7P			
^amp[_]*\w*$	species	Charge	-2			
						
^utp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^utp[_]*\w*$	species	RDF	CHEBI:46398	BQB_IS	chebi	UTP(4-)
^utp[_]*\w*$	species	RDF	C00075	BQB_IS_VERSION_OF	kegg.compound	UTP
^utp[_]*\w*$	species	Formula	C9H11N2O15P3			
^utp[_]*\w*$	species	Charge	-4			
						
^udp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^udp[_]*\w*$	species	RDF	CHEBI:58223	BQB_IS	chebi	UDP(3-)
^udp[_]*\w*$	species	RDF	C00015	BQB_IS_VERSION_OF	kegg.compound	UDP
^udp[_]*\w*$	species	Formula	C9H11N2O12P2			
^udp[_]*\w*$	species	Charge	-3			
						
^gtp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^gtp[_]*\w*$	species	RDF	C00044	BQB_IS_VERSION_OF	kegg.compound	
^gtp[_]*\w*$	species	RDF	CHEBI:37565	BQB_IS	chebi	GTP(4-)
^gtp[_]*\w*$	species	Formula	C10H12N5O14P3			
^gtp[_]*\w*$	species	Charge	-4			
						
^gdp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^gdp[_]*\w*$	species	RDF	C00035	BQB_IS_VERSION_OF	kegg.compound	
^gdp[_]*\w*$	species	RDF	CHEBI:58189	BQB_IS	chebi	GDP(3−)
^gdp[_]*\w*$	species	Formula	C10H12N5O11P2			
^gdp[_]*\w*$	species	Charge	-3			
						
^nad[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^nad[_]*\w*$	species	RDF	C00003	BQB_IS_VERSION_OF	kegg.compound	
^nad[_]*\w*$	species	RDF	CHEBI:57540	BQB_IS	chebi	NAD(1-)
^nad[_]*\w*$	species	Formula	C21H26N7O14P2			
^nad[_]*\w*$	species	Charge	-1			
						
^nadh[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^nadh[_]*\w*$	species	RDF	C00004	BQB_IS_VERSION_OF	kegg.compound	
^nadh[_]*\w*$	species	RDF	CHEBI:57945	BQB_IS	chebi	NADH(2-)
^nadh[_]*\w*$	species	Formula	C21H27N7O14P2			
^nadh[_]*\w*$	species	Charge	-2			
						
^phos[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^phos[_]*\w*$	species	RDF	CHEBI:43474	BQB_IS	chebi	hydrogenphosphate
^phos[_]*\w*$	species	RDF	C00009	BQB_IS_VERSION_OF	kegg.compound	Phosphate
^phos[_]*\w*$	species	Formula	HO4P			
^phos[_]*\w*$	species	Charge	-2			
						
^pp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pp[_]*\w*$	species	RDF	CHEBI:33019	BQB_IS	chebi	diphosphate(3-)
^pp[_]*\w*$	species	RDF	C00013	BQB_IS_VERSION_OF	kegg.compound	Diphosphate
^pp[_]*\w*$	species	Formula	HO7P2			
^pp[_]*\w*$	species	Charge	-3			
						
^co2[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^co2[_]*\w*$	species	RDF	CHEBI:16526	BQB_IS	chebi	carbon dioxide
^co2[_]*\w*$	species	RDF	C00011	BQB_IS	kegg.compound	CO2
^co2[_]*\w*$	species	Formula	CO2			
^co2[_]*\w*$	species	Charge	0			
						
^h[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^h[_]*\w*$	species	RDF	CHEBI:15378	BQB_IS	chebi	hydron
^h[_]*\w*$	species	RDF	C00080	BQB_IS	kegg.compound	H+
^h[_]*\w*$	species	Formula	H			
^h[_]*\w*$	species	Charge	+1			
						
^h2[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^h2[_]*\w*$	species	RDF	CHEBI:18276	BQB_IS	chebi	dihydrogen
^h2[_]*\w*$	species	RDF	C00282	BQB_IS	kegg.compound	Hydrogen
^h2[_]*\w*$	species	Formula	H2			
^h2[_]*\w*$	species	Charge	0			
						
^h2o[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^h2o[_]*\w*$	species	RDF	CHEBI:15377	BQB_IS	chebi	water
^h2o[_]*\w*$	species	RDF	C00001	BQB_IS	kegg.compound	H2O
^h2o[_]*\w*$	species	Formula	H2O			
^h2o[_]*\w*$	species	Charge	0			
						
^glc1p[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^glc1p[_]*\w*$	species	RDF	C00103	BQB_IS	kegg.compound	D-Glucose 1-phosphate
^glc1p[_]*\w*$	species	RDF	CHEBI:58601	BQB_IS	chebi	alpha-D-glucose 1-phosphate(2-)
^glc1p[_]*\w*$	species	Formula	C6H11O9P			
^glc1p[_]*\w*$	species	Charge	-2			
						
^udpglc[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^udpglc[_]*\w*$	species	RDF	C00029	BQB_IS_VERSION_OF	kegg.compound	UDP-glucose
^udpglc[_]*\w*$	species	RDF	CHEBI:58885	BQB_IS	chebi	UDP-alpha-D-glucose(2-)
^udpglc[_]*\w*$	species	Formula	C15H22N2O17P2			
^udpglc[_]*\w*$	species	Charge	-2			
						
^glyglc[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^glyglc[_]*\w*$	species	RDF	C00182	BQB_IS_VERSION_OF	kegg.compound	
^glyglc[_]*\w*$	species	RDF	CHEBI:28087	BQB_IS_VERSION_OF	chebi	
^glyglc[_]*\w*$	species	Formula	C6H12O6			
^glyglc[_]*\w*$	species	Charge	0			
						
^glc6p[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^glc6p[_]*\w*$	species	RDF	C00668	BQB_IS_VERSION_OF	kegg.compound	alpha-D-Glucose 6-phosphate
^glc6p[_]*\w*$	species	RDF	CHEBI:61548	BQB_IS	chebi	D-glucopyranose 6-phosphate(2-)
^glc6p[_]*\w*$	species	Formula	C6H11O9P			
^glc6p[_]*\w*$	species	Charge	-2			
						
^fru6p[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^fru6p[_]*\w*$	species	RDF	C00085	BQB_IS_VERSION_OF	kegg.compound	
^fru6p[_]*\w*$	species	RDF	CHEBI:57579	BQB_IS	chebi	D-fructose 6-phosphate(2−)
^fru6p[_]*\w*$	species	Formula	C6H11O9P			
^fru6p[_]*\w*$	species	Charge	-2			
						
^fru16bp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^fru16bp[_]*\w*$	species	RDF	C00354	BQB_IS_VERSION_OF	kegg.compound	
^fru16bp[_]*\w*$	species	RDF	CHEBI:49299	BQB_IS	chebi	D-fructofuranose 1,6-bisphosphate(4-)
^fru16bp[_]*\w*$	species	Formula	C6H10O12P2			
^fru16bp[_]*\w*$	species	Charge	-4			
						
^fru26bp[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^fru26bp[_]*\w*$	species	RDF	C00665	BQB_IS_VERSION_OF	kegg.compound	
^fru26bp[_]*\w*$	species	RDF	CHEBI:58579	BQB_IS	chebi	β-D-fructofuranose 2,6-bisphosphate(4−)
^fru26bp[_]*\w*$	species	Formula	C6H10O12P2			
^fru26bp[_]*\w*$	species	Charge	-4			
						
^grap[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^grap[_]*\w*$	species	RDF	C00118	BQB_IS_VERSION_OF	kegg.compound	
^grap[_]*\w*$	species	RDF	CHEBI:59776	BQB_IS	chebi	D-glyceraldehyde 3-phosphate(2-)
^grap[_]*\w*$	species	Formula	C3H5O6P			
^grap[_]*\w*$	species	Charge	-2			
						
^dhap[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^dhap[_]*\w*$	species	RDF	C00111	BQB_IS_VERSION_OF	kegg.compound	
^dhap[_]*\w*$	species	RDF	CHEBI:57642	BQB_IS	chebi	glycerone phosphate(2-)
^dhap[_]*\w*$	species	Formula	C3H5O6P			
^dhap[_]*\w*$	species	Charge	-2			
						
^bpg13[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^bpg13[_]*\w*$	species	RDF	C00236	BQB_IS_VERSION_OF	kegg.compound	
^bpg13[_]*\w*$	species	RDF	CHEBI:57604	BQB_IS	chebi	3-phosphonato-D-glyceroyl phosphate(4-)
^bpg13[_]*\w*$	species	Formula	C3H4O10P2			
^bpg13[_]*\w*$	species	Charge	-4			
						
^pg3[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pg3[_]*\w*$	species	RDF	C00197	BQB_IS_VERSION_OF	kegg.compound	
^pg3[_]*\w*$	species	RDF	CHEBI:58272	BQB_IS	chebi	3-phosphonato-D-glycerate(3-)
^pg3[_]*\w*$	species	Formula	C3H4O7P			
^pg3[_]*\w*$	species	Charge	-3			
						
^pg2[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pg2[_]*\w*$	species	RDF	C00631	BQB_IS_VERSION_OF	kegg.compound	
^pg2[_]*\w*$	species	RDF	CHEBI:58289	BQB_IS	chebi	2-phosphonato-D-glycerate(3-)
^pg2[_]*\w*$	species	Formula	C3H4O7P			
^pg2[_]*\w*$	species	Charge	-3			
						
^pep[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pep[_]*\w*$	species	RDF	C00074	BQB_IS_VERSION_OF	kegg.compound	
^pep[_]*\w*$	species	RDF	CHEBI:58702	BQB_IS	chebi	phosphonatoenolpyruvate
^pep[_]*\w*$	species	Formula	C3H2O6P			
^pep[_]*\w*$	species	Charge	-3			
						
^pyr[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^pyr[_]*\w*$	species	RDF	C00022	BQB_IS_VERSION_OF	kegg.compound	
^pyr[_]*\w*$	species	RDF	CHEBI:15361	BQB_IS	chebi	pyruvate
^pyr[_]*\w*$	species	Formula	C3H3O3			
^pyr[_]*\w*$	species	Charge	-1			
						
^oaa[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^oaa[_]*\w*$	species	RDF	C00036	BQB_IS_VERSION_OF	kegg.compound	
^oaa[_]*\w*$	species	RDF	CHEBI:16452	BQB_IS	chebi	oxaloacetate(2-)
^oaa[_]*\w*$	species	Formula	C4H2O5			
^oaa[_]*\w*$	species	Charge	-2			
						
^lac[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^lac[_]*\w*$	species	RDF	C00186	BQB_IS_VERSION_OF	kegg.compound	
^lac[_]*\w*$	species	RDF	CHEBI:16651	BQB_IS	chebi	(S)-lactate
^lac[_]*\w*$	species	Formula	C3H5O3			
^lac[_]*\w*$	species	Charge	-1			
						
^coa[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^coa[_]*\w*$	species	RDF	C00010	BQB_IS_VERSION_OF	kegg.compound	
^coa[_]*\w*$	species	RDF	CHEBI:57287	BQB_IS	chebi	coenzyme A(4-)
^coa[_]*\w*$	species	Formula	C21H32N7O16P3S			
^coa[_]*\w*$	species	Charge	-4			
						
^acoa[_]*\w*$	species	RDF	SBO:0000247	BQB_IS	biomodels.sbo	simple chemical
^acoa[_]*\w*$	species	RDF	C00024	BQB_IS_VERSION_OF	kegg.compound	
